 Log10[q2](GeV^2)   Log10[r2](GeV^2)   theta          G1Gluon          G1Ghost          G1Quark          G1Sword
-4.0000000E+0    -3.0344828E+0     4.9604095E-1     7.9202712E-3    -3.6588118E-1     4.1147923E-1    -8.6069596E-1
-4.0000000E+0    -3.0344828E+0     6.6138793E-1     7.9141337E-3    -3.6707758E-1     4.1148764E-1    -8.6069907E-1
-4.0000000E+0    -3.0344828E+0     8.2673491E-1     7.9062063E-3    -3.6859895E-1     4.1149826E-1    -8.6070296E-1
-4.0000000E+0    -3.0344828E+0     9.9208189E-1     7.8965587E-3    -3.7042770E-1     4.1151075E-1    -8.6070751E-1
-4.0000000E+0    -3.0344828E+0     1.1574289E+0     7.8854961E-3    -3.7254875E-1     4.1152476E-1    -8.6071261E-1
-4.0000000E+0    -3.0344828E+0     1.3227759E+0     7.8735140E-3    -3.7494464E-1     4.1153985E-1    -8.6071808E-1
-4.0000000E+0    -3.0344828E+0     1.4881228E+0     7.8602973E-3    -3.7758750E-1     4.1155561E-1    -8.6072374E-1
-4.0000000E+0    -3.0344828E+0     1.6534698E+0     7.8477811E-3    -3.8043190E-1     4.1157186E-1    -8.6072946E-1
-4.0000000E+0    -3.0344828E+0     1.8188168E+0     7.8354365E-3    -3.8342462E-1     4.1158807E-1    -8.6073514E-1
-4.0000000E+0    -3.0344828E+0     1.9841638E+0     7.8244006E-3    -3.8649659E-1     4.1160372E-1    -8.6074051E-1
-4.0000000E+0    -3.0344828E+0     2.1495108E+0     7.8151489E-3    -3.8956126E-1     4.1161832E-1    -8.6074533E-1
-4.0000000E+0    -3.0344828E+0     2.3148577E+0     7.8058417E-3    -3.9251510E-1     4.1163173E-1    -8.6074938E-1
-4.0000000E+0    -3.0344828E+0     2.4802047E+0     7.7975944E-3    -3.9523158E-1     4.1164351E-1    -8.6075283E-1
-4.0000000E+0    -3.0344828E+0     2.6455517E+0     7.7907499E-3    -3.9756613E-1     4.1165302E-1    -8.6075569E-1
-4.0000000E+0    -3.0344828E+0     2.8108987E+0     7.7866681E-3    -3.9937596E-1     4.1166040E-1    -8.6075782E-1
-4.0000000E+0    -3.0344828E+0     2.9762457E+0     7.7834899E-3    -4.0051625E-1     4.1166507E-1    -8.6075910E-1
-4.0000000E+0    -2.7931034E+0     1.0000000E-2     8.1211625E-3    -3.3661459E-1     4.1122498E-1    -8.6060406E-1
-4.0000000E+0    -2.7931034E+0     1.6534698E-1     8.1197239E-3    -3.3675356E-1     4.1122687E-1    -8.6060467E-1
-4.0000000E+0    -2.7931034E+0     3.3069396E-1     8.1155957E-3    -3.3718454E-1     4.1123173E-1    -8.6060647E-1
-4.0000000E+0    -2.7931034E+0     4.9604095E-1     8.1088152E-3    -3.3790294E-1     4.1123977E-1    -8.6060943E-1
-4.0000000E+0    -2.7931034E+0     6.6138793E-1     8.0996316E-3    -3.3890137E-1     4.1125089E-1    -8.6061344E-1
-4.0000000E+0    -2.7931034E+0     8.2673491E-1     8.0883491E-3    -3.4016878E-1     4.1126462E-1    -8.6061840E-1
-4.0000000E+0    -2.7931034E+0     9.9208189E-1     8.0751993E-3    -3.4169063E-1     4.1128051E-1    -8.6062412E-1
-4.0000000E+0    -2.7931034E+0     1.1574289E+0     8.0605269E-3    -3.4344449E-1     4.1129829E-1    -8.6063043E-1
-4.0000000E+0    -2.7931034E+0     1.3227759E+0     8.0446938E-3    -3.4540403E-1     4.1131758E-1    -8.6063719E-1
-4.0000000E+0    -2.7931034E+0     1.4881228E+0     8.0280613E-3    -3.4753912E-1     4.1133786E-1    -8.6064438E-1
-4.0000000E+0    -2.7931034E+0     1.6534698E+0     8.0117787E-3    -3.4981144E-1     4.1135832E-1    -8.6065180E-1
-4.0000000E+0    -2.7931034E+0     1.8188168E+0     7.9960441E-3    -3.5217257E-1     4.1137814E-1    -8.6065922E-1
-4.0000000E+0    -2.7931034E+0     1.9841638E+0     7.9811444E-3    -3.5456234E-1     4.1139760E-1    -8.6066641E-1
-4.0000000E+0    -2.7931034E+0     2.1495108E+0     7.9675819E-3    -3.5690993E-1     4.1141605E-1    -8.6067311E-1
-4.0000000E+0    -2.7931034E+0     2.3148577E+0     7.9554448E-3    -3.5913032E-1     4.1143276E-1    -8.6067909E-1
-4.0000000E+0    -2.7931034E+0     2.4802047E+0     7.9454104E-3    -3.6112698E-1     4.1144671E-1    -8.6068420E-1
-4.0000000E+0    -2.7931034E+0     2.6455517E+0     7.9367755E-3    -3.6281109E-1     4.1145806E-1    -8.6068837E-1
-4.0000000E+0    -2.7931034E+0     2.8108987E+0     7.9294908E-3    -3.6409422E-1     4.1146669E-1    -8.6069145E-1
-4.0000000E+0    -2.7931034E+0     2.9762457E+0     7.9246081E-3    -3.6490246E-1     4.1147235E-1    -8.6069333E-1
-4.0000000E+0    -2.5517241E+0     1.0000000E-2     8.4448337E-3    -3.0749805E-1     4.1082564E-1    -8.6045801E-1
-4.0000000E+0    -2.5517241E+0     1.6534698E-1     8.4427373E-3    -3.0761152E-1     4.1082724E-1    -8.6045881E-1
-4.0000000E+0    -2.5517241E+0     3.3069396E-1     8.4373121E-3    -3.0796425E-1     4.1083342E-1    -8.6046120E-1
-4.0000000E+0    -2.5517241E+0     4.9604095E-1     8.4285606E-3    -3.0855134E-1     4.1084392E-1    -8.6046510E-1
-4.0000000E+0    -2.5517241E+0     6.6138793E-1     8.4166517E-3    -3.0936453E-1     4.1085830E-1    -8.6047038E-1
-4.0000000E+0    -2.5517241E+0     8.2673491E-1     8.4018256E-3    -3.1039238E-1     4.1087614E-1    -8.6047685E-1
-4.0000000E+0    -2.5517241E+0     9.9208189E-1     8.3846121E-3    -3.1161982E-1     4.1089702E-1    -8.6048435E-1
-4.0000000E+0    -2.5517241E+0     1.1574289E+0     8.3654630E-3    -3.1302757E-1     4.1092017E-1    -8.6049277E-1
-4.0000000E+0    -2.5517241E+0     1.3227759E+0     8.3450157E-3    -3.1459150E-1     4.1094492E-1    -8.6050189E-1
-4.0000000E+0    -2.5517241E+0     1.4881228E+0     8.3238843E-3    -3.1628257E-1     4.1097058E-1    -8.6051146E-1
-4.0000000E+0    -2.5517241E+0     1.6534698E+0     8.3023535E-3    -3.1806486E-1     4.1099690E-1    -8.6052122E-1
-4.0000000E+0    -2.5517241E+0     1.8188168E+0     8.2811595E-3    -3.1989194E-1     4.1102304E-1    -8.6053086E-1
-4.0000000E+0    -2.5517241E+0     1.9841638E+0     8.2608889E-3    -3.2171870E-1     4.1104827E-1    -8.6054009E-1
-4.0000000E+0    -2.5517241E+0     2.1495108E+0     8.2423565E-3    -3.2348729E-1     4.1107165E-1    -8.6054861E-1
-4.0000000E+0    -2.5517241E+0     2.3148577E+0     8.2262803E-3    -3.2513529E-1     4.1109212E-1    -8.6055616E-1
-4.0000000E+0    -2.5517241E+0     2.4802047E+0     8.2127223E-3    -3.2660122E-1     4.1110961E-1    -8.6056254E-1
-4.0000000E+0    -2.5517241E+0     2.6455517E+0     8.2016580E-3    -3.2782488E-1     4.1112403E-1    -8.6056763E-1
-4.0000000E+0    -2.5517241E+0     2.8108987E+0     8.1936387E-3    -3.2874859E-1     4.1113478E-1    -8.6057141E-1
-4.0000000E+0    -2.5517241E+0     2.9762457E+0     8.1887678E-3    -3.2932613E-1     4.1114158E-1    -8.6057375E-1
-4.0000000E+0    -2.3103448E+0     1.0000000E-2     8.9909992E-3    -2.7740263E-1     4.1015945E-1    -8.6020552E-1
-4.0000000E+0    -2.3103448E+0     1.6534698E-1     8.9886979E-3    -2.7749333E-1     4.1016169E-1    -8.6020657E-1
-4.0000000E+0    -2.3103448E+0     3.3069396E-1     8.9818307E-3    -2.7777555E-1     4.1016965E-1    -8.6020970E-1
-4.0000000E+0    -2.3103448E+0     4.9604095E-1     8.9705721E-3    -2.7824491E-1     4.1018312E-1    -8.6021482E-1
-4.0000000E+0    -2.3103448E+0     6.6138793E-1     8.9552207E-3    -2.7889399E-1     4.1020158E-1    -8.6022182E-1
-4.0000000E+0    -2.3103448E+0     8.2673491E-1     8.9362998E-3    -2.7971234E-1     4.1022445E-1    -8.6023053E-1
-4.0000000E+0    -2.3103448E+0     9.9208189E-1     8.9141810E-3    -2.8068486E-1     4.1025121E-1    -8.6024072E-1
-4.0000000E+0    -2.3103448E+0     1.1574289E+0     8.8893912E-3    -2.8179330E-1     4.1028123E-1    -8.6025213E-1
-4.0000000E+0    -2.3103448E+0     1.3227759E+0     8.8626465E-3    -2.8301589E-1     4.1031368E-1    -8.6026446E-1
-4.0000000E+0    -2.3103448E+0     1.4881228E+0     8.8346632E-3    -2.8432678E-1     4.1034770E-1    -8.6027738E-1
-4.0000000E+0    -2.3103448E+0     1.6534698E+0     8.8062923E-3    -2.8569674E-1     4.1038224E-1    -8.6029050E-1
-4.0000000E+0    -2.3103448E+0     1.8188168E+0     8.7785827E-3    -2.8708860E-1     4.1041596E-1    -8.6030345E-1
-4.0000000E+0    -2.3103448E+0     1.9841638E+0     8.7523633E-3    -2.8846613E-1     4.1044788E-1    -8.6031583E-1
-4.0000000E+0    -2.3103448E+0     2.1495108E+0     8.7284424E-3    -2.8978661E-1     4.1047704E-1    -8.6032730E-1
-4.0000000E+0    -2.3103448E+0     2.3148577E+0     8.7068922E-3    -2.9100735E-1     4.1050348E-1    -8.6033751E-1
-4.0000000E+0    -2.3103448E+0     2.4802047E+0     8.6882761E-3    -2.9208436E-1     4.1052650E-1    -8.6034620E-1
-4.0000000E+0    -2.3103448E+0     2.6455517E+0     8.6731596E-3    -2.9297543E-1     4.1054532E-1    -8.6035314E-1
-4.0000000E+0    -2.3103448E+0     2.8108987E+0     8.6620195E-3    -2.9364341E-1     4.1055923E-1    -8.6035819E-1
-4.0000000E+0    -2.3103448E+0     2.9762457E+0     8.6554321E-3    -2.9405946E-1     4.1056793E-1    -8.6036125E-1
-4.0000000E+0    -2.0689655E+0     1.0000000E-2     9.9273870E-3    -2.4672828E-1     4.0903125E-1    -8.5976179E-1
-4.0000000E+0    -2.0689655E+0     1.6534698E-1     9.9246605E-3    -2.4679907E-1     4.0903374E-1    -8.5976325E-1
-4.0000000E+0    -2.0689655E+0     3.3069396E-1     9.9159516E-3    -2.4701994E-1     4.0904372E-1    -8.5976759E-1
-4.0000000E+0    -2.0689655E+0     4.9604095E-1     9.9013050E-3    -2.4738689E-1     4.0906099E-1    -8.5977469E-1
-4.0000000E+0    -2.0689655E+0     6.6138793E-1     9.8811384E-3    -2.4789316E-1     4.0908493E-1    -8.5978439E-1
-4.0000000E+0    -2.0689655E+0     8.2673491E-1     9.8560066E-3    -2.4852924E-1     4.0911497E-1    -8.5979643E-1
-4.0000000E+0    -2.0689655E+0     9.9208189E-1     9.8266928E-3    -2.4928267E-1     4.0915017E-1    -8.5981049E-1
-4.0000000E+0    -2.0689655E+0     1.1574289E+0     9.7939933E-3    -2.5013815E-1     4.0918943E-1    -8.5982619E-1
-4.0000000E+0    -2.0689655E+0     1.3227759E+0     9.7588895E-3    -2.5107740E-1     4.0923159E-1    -8.5984311E-1
-4.0000000E+0    -2.0689655E+0     1.4881228E+0     9.7225107E-3    -2.5207915E-1     4.0927530E-1    -8.5986077E-1
-4.0000000E+0    -2.0689655E+0     1.6534698E+0     9.6859092E-3    -2.5311944E-1     4.0931920E-1    -8.5987867E-1
-4.0000000E+0    -2.0689655E+0     1.8188168E+0     9.6500095E-3    -2.5417014E-1     4.0936220E-1    -8.5989631E-1
-4.0000000E+0    -2.0689655E+0     1.9841638E+0     9.6151792E-3    -2.5520266E-1     4.0940402E-1    -8.5991317E-1
-4.0000000E+0    -2.0689655E+0     2.1495108E+0     9.5825655E-3    -2.5618586E-1     4.0944334E-1    -8.5992878E-1
-4.0000000E+0    -2.0689655E+0     2.3148577E+0     9.5531023E-3    -2.5708808E-1     4.0947892E-1    -8.5994271E-1
-4.0000000E+0    -2.0689655E+0     2.4802047E+0     9.5277147E-3    -2.5787839E-1     4.0950961E-1    -8.5995459E-1
-4.0000000E+0    -2.0689655E+0     2.6455517E+0     9.5071689E-3    -2.5852834E-1     4.0953469E-1    -8.5996412E-1
-4.0000000E+0    -2.0689655E+0     2.8108987E+0     9.4919749E-3    -2.5901344E-1     4.0955330E-1    -8.5997107E-1
-4.0000000E+0    -2.0689655E+0     2.9762457E+0     9.4825088E-3    -2.5931486E-1     4.0956511E-1    -8.5997530E-1
-4.0000000E+0    -1.8275862E+0     1.0000000E-2     1.1532192E-2    -2.1586049E-1     4.0709468E-1    -8.5897392E-1
-4.0000000E+0    -1.8275862E+0     1.6534698E-1     1.1528663E-2    -2.1591502E-1     4.0709813E-1    -8.5897591E-1
-4.0000000E+0    -1.8275862E+0     3.3069396E-1     1.1517363E-2    -2.1608519E-1     4.0711150E-1    -8.5898185E-1
-4.0000000E+0    -1.8275862E+0     4.9604095E-1     1.1498387E-2    -2.1636768E-1     4.0713424E-1    -8.5899158E-1
-4.0000000E+0    -1.8275862E+0     6.6138793E-1     1.1472269E-2    -2.1675689E-1     4.0716566E-1    -8.5900485E-1
