 Log10[q2](GeV^2) Log10[r2](GeV^2)    theta            G4Gluon         G4Ghost           GQuark          G4Sword
-4.0000000E+0    -2.5517241E+0     1.0000000E-2    -5.8650152E-6    -7.9034740E-3    -4.2675914E-5    -2.5914182E-7
-4.0000000E+0    -2.5517241E+0     1.6534698E-1     2.1515155E-7    -7.9040287E-3    -3.5294234E-5    -2.8447729E-7
-4.0000000E+0    -2.5517241E+0     3.3069396E-1     9.4326109E-7    -7.8946173E-3    -3.3045418E-5    -3.5448660E-7
-4.0000000E+0    -2.5517241E+0     4.9604095E-1     7.7433314E-7    -7.8755074E-3    -3.4000352E-5    -4.4172710E-7
-4.0000000E+0    -2.5517241E+0     6.6138793E-1    -4.0877852E-7    -7.8495881E-3    -3.3289999E-5    -4.8230314E-7
-4.0000000E+0    -2.5517241E+0     8.2673491E-1    -1.5659475E-7    -7.8160983E-3    -3.0846716E-5    -3.3541948E-7
-4.0000000E+0    -2.5517241E+0     9.9208189E-1    -1.4871738E-6    -7.7771467E-3    -2.9849999E-5     1.0505769E-7
-4.0000000E+0    -2.5517241E+0     1.1574289E+0    -2.3507810E-6    -7.7347589E-3    -2.6982558E-5     5.7907968E-7
-4.0000000E+0    -2.5517241E+0     1.3227759E+0    -2.6819419E-6    -7.6982051E-3    -2.5229433E-5     1.0423841E-6
-4.0000000E+0    -2.5517241E+0     1.4881228E+0    -4.0082751E-7    -7.6657476E-3    -2.7881206E-5     1.4208065E-6
-4.0000000E+0    -2.5517241E+0     1.6534698E+0     3.0538933E-6    -7.6088030E-3    -3.1417942E-5     1.6766217E-6
-4.0000000E+0    -2.5517241E+0     1.8188168E+0     3.7884388E-6    -7.6280205E-3    -3.0852052E-5     1.7728847E-6
-4.0000000E+0    -2.5517241E+0     1.9841638E+0     4.5396432E-6    -7.6158903E-3    -2.9788859E-5     1.6706772E-6
-4.0000000E+0    -2.5517241E+0     2.1495108E+0     3.8937313E-6    -7.6095690E-3    -2.9085459E-5     1.3575134E-6
-4.0000000E+0    -2.5517241E+0     2.3148577E+0     2.1825694E-6    -7.6131650E-3    -2.6162317E-5     8.4675098E-7
