 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta            G1              G2               G3               G4
-4.0000000E+0    -2.7931034E+0     1.7273001E+0     2.0785811E-1     2.0292527E-3     1.8151616E-2    -7.1630994E-3
-4.0000000E+0    -2.7931034E+0     1.8834183E+0     2.0560410E-1     3.6685636E-3     1.8114360E-2    -7.1288849E-3
-4.0000000E+0    -2.7931034E+0     2.0395365E+0     2.0335021E-1     5.1838353E-3     1.8092483E-2    -7.1211634E-3
-4.0000000E+0    -2.7931034E+0     2.1956547E+0     2.0116261E-1     5.0178692E-3     1.8087635E-2    -7.1224440E-3
-4.0000000E+0    -2.7931034E+0     2.3517729E+0     1.9910998E-1     6.7947150E-3     1.8101609E-2    -7.1337481E-3
-4.0000000E+0    -2.7931034E+0     2.5078911E+0     1.9726479E-1     1.7873803E-3     1.8132937E-2    -7.1552081E-3
-4.0000000E+0    -2.7931034E+0     2.6640093E+0     1.9571577E-1    -5.2560716E-2     1.8170563E-2    -7.1842310E-3
-4.0000000E+0    -2.7931034E+0     2.8201275E+0     1.9453917E-1    -1.1998622E-1     1.8205172E-2    -7.2120446E-3
-4.0000000E+0    -2.7931034E+0     2.9762457E+0     1.9379355E-1    -1.0361643E-2     1.8227940E-2    -7.2294256E-3
-4.0000000E+0    -2.5517241E+0     1.0000000E-2     2.5131535E-1     6.0690540E-3     1.9157951E-2    -7.9522741E-3
-4.0000000E+0    -2.5517241E+0     1.6611819E-1     2.5119946E-1     5.9083698E-3     1.9154214E-2    -7.9393381E-3
-4.0000000E+0    -2.5517241E+0     3.2223639E-1     2.5087035E-1     5.4858649E-3     1.9140296E-2    -7.9278069E-3
-4.0000000E+0    -2.5517241E+0     4.7835458E-1     2.5033156E-1     6.2703700E-3     1.9116985E-2    -7.9113860E-3
-4.0000000E+0    -2.5517241E+0     6.3447277E-1     2.4958923E-1     1.6413643E-3     1.9084521E-2    -7.8887024E-3
-4.0000000E+0    -2.5517241E+0     7.9059097E-1     2.4865240E-1     4.1299518E-2     1.9044675E-2    -7.8557959E-3
-4.0000000E+0    -2.5517241E+0     9.4670916E-1     2.4753331E-1     1.3324627E-2     1.8999991E-2    -7.8196003E-3
-4.0000000E+0    -2.5517241E+0     1.1028274E+0     2.4624666E-1    -9.9632769E-3     1.8952545E-2    -7.7785318E-3
-4.0000000E+0    -2.5517241E+0     1.2589455E+0     2.4481361E-1     6.0664371E-3     1.8904947E-2    -7.7378120E-3
-4.0000000E+0    -2.5517241E+0     1.4150637E+0     2.4325877E-1     6.6961147E-3     1.8859671E-2    -7.7106049E-3
-4.0000000E+0    -2.5517241E+0     1.5711819E+0     2.4160813E-1     1.5560245E-3     1.8818964E-2    -7.6592830E-3
-4.0000000E+0    -2.5517241E+0     1.7273001E+0     2.3989690E-1     4.3120714E-3     1.8786292E-2    -7.6390881E-3
-4.0000000E+0    -2.5517241E+0     1.8834183E+0     2.3816378E-1     4.8805197E-3     1.8763537E-2    -7.6520595E-3
-4.0000000E+0    -2.5517241E+0     2.0395365E+0     2.3645034E-1     5.4081607E-3     1.8751232E-2    -7.6352041E-3
-4.0000000E+0    -2.5517241E+0     2.1956547E+0     2.3480676E-1     5.3569898E-3     1.8750914E-2    -7.6335360E-3
-4.0000000E+0    -2.5517241E+0     2.3517729E+0     2.3328367E-1     5.9776557E-3     1.8761720E-2    -7.6383868E-3
-4.0000000E+0    -2.5517241E+0     2.5078911E+0     2.3193431E-1     4.2868430E-3     1.8779440E-2    -7.6520433E-3
-4.0000000E+0    -2.5517241E+0     2.6640093E+0     2.3081261E-1    -1.4397591E-2     1.8798680E-2    -7.6679883E-3
-4.0000000E+0    -2.5517241E+0     2.8201275E+0     2.2996573E-1    -3.7809274E-2     1.8815755E-2    -7.6822800E-3
-4.0000000E+0    -2.5517241E+0     2.9762457E+0     2.2943048E-1    -1.8967711E-4     1.8826214E-2    -7.6893652E-3
-4.0000000E+0    -2.3103448E+0     1.0000000E-2     2.8154218E-1     5.7773711E-3     1.9562845E-2    -8.2397496E-3
-4.0000000E+0    -2.3103448E+0     1.6611819E-1     2.8144941E-1     5.6200796E-3     1.9560858E-2    -8.2364668E-3
-4.0000000E+0    -2.3103448E+0     3.2223639E-1     2.8118523E-1     5.3225075E-3     1.9552314E-2    -8.2294117E-3
-4.0000000E+0    -2.3103448E+0     4.7835458E-1     2.8075344E-1     5.3903299E-3     1.9537063E-2    -8.2190061E-3
-4.0000000E+0    -2.3103448E+0     6.3447277E-1     2.8016026E-1     4.5026213E-3     1.9515538E-2    -8.2045199E-3
-4.0000000E+0    -2.3103448E+0     7.9059097E-1     2.7941429E-1     1.1994844E-2     1.9488888E-2    -8.1866942E-3
-4.0000000E+0    -2.3103448E+0     9.4670916E-1     2.7852688E-1     6.9356840E-3     1.9458954E-2    -8.1657874E-3
-4.0000000E+0    -2.3103448E+0     1.1028274E+0     2.7751210E-1     2.5404466E-3     1.9427661E-2    -8.1432035E-3
-4.0000000E+0    -2.3103448E+0     1.2589455E+0     2.7638703E-1     5.4511751E-3     1.9396868E-2    -8.1188209E-3
-4.0000000E+0    -2.3103448E+0     1.4150637E+0     2.7517303E-1     5.5786123E-3     1.9368478E-2    -8.1074056E-3
-4.0000000E+0    -2.3103448E+0     1.5711819E+0     2.7389359E-1     4.6398692E-3     1.9343845E-2    -8.0634900E-3
-4.0000000E+0    -2.3103448E+0     1.7273001E+0     2.7257780E-1     5.1587321E-3     1.9324664E-2    -8.0426222E-3
-4.0000000E+0    -2.3103448E+0     1.8834183E+0     2.7125686E-1     5.2646947E-3     1.9312053E-2    -8.0584847E-3
-4.0000000E+0    -2.3103448E+0     2.0395365E+0     2.6996301E-1     5.3723549E-3     1.9306282E-2    -8.0436338E-3
-4.0000000E+0    -2.3103448E+0     2.1956547E+0     2.6873369E-1     5.3711418E-3     1.9307012E-2    -8.0428600E-3
-4.0000000E+0    -2.3103448E+0     2.3517729E+0     2.6760613E-1     5.4980531E-3     1.9312401E-2    -8.0503406E-3
-4.0000000E+0    -2.3103448E+0     2.5078911E+0     2.6661681E-1     5.2020880E-3     1.9320923E-2    -8.0608239E-3
-4.0000000E+0    -2.3103448E+0     2.6640093E+0     2.6580035E-1     1.6992700E-3     1.9330196E-2    -8.0685311E-3
-4.0000000E+0    -2.3103448E+0     2.8201275E+0     2.6518667E-1    -2.7891621E-3     1.9337685E-2    -8.0713237E-3
-4.0000000E+0    -2.3103448E+0     2.9762457E+0     2.6479988E-1     4.3698490E-3     1.9342095E-2    -8.0771990E-3
-4.0000000E+0    -2.0689655E+0     1.0000000E-2     3.1246736E-1     5.8022661E-3     1.9949410E-2    -8.4860313E-3
-4.0000000E+0    -2.0689655E+0     1.6611819E-1     3.1239421E-1     5.6469975E-3     1.9948646E-2    -8.4792119E-3
-4.0000000E+0    -2.0689655E+0     3.2223639E-1     3.1218584E-1     5.4285707E-3     1.9943276E-2    -8.4791223E-3
