 Log10[q2](GeV^2)  Log10[r2](GeV^2)     theta        G2Gluon          G2Ghost           G2Quark          G2Sword
-4.0000000E+0    -3.2758621E+0     6.6138793E-1    -5.8955321E-3     4.6981848E-3     2.1260438E-5     2.2033459E-5
-4.0000000E+0    -3.2758621E+0     8.2673491E-1    -5.4100419E-1     4.6104171E-3     2.0482298E-5     2.1244547E-5
-4.0000000E+0    -3.2758621E+0     9.9208189E-1     1.1085106E-1     4.5077476E-3     2.0311830E-5     2.0331296E-5
-4.0000000E+0    -3.2758621E+0     1.1574289E+0    -4.4494591E-2     4.4226461E-3     2.0294958E-5     1.9332733E-5
-4.0000000E+0    -3.2758621E+0     1.3227759E+0    -1.8131015E-2     4.3551465E-3     1.9054978E-5     1.8223776E-5
-4.0000000E+0    -3.2758621E+0     1.4881228E+0     1.5835204E-2     4.3191166E-3     1.7827182E-5     1.7009413E-5
-4.0000000E+0    -3.2758621E+0     1.6534698E+0     1.7447044E-2     4.2928785E-3     1.7444317E-5     1.5876462E-5
-4.0000000E+0    -3.2758621E+0     1.8188168E+0     1.3006217E-2     4.2759262E-3     1.6883955E-5     1.4898881E-5
-4.0000000E+0    -3.2758621E+0     1.9841638E+0     1.0043963E-2     4.2389585E-3     1.5057271E-5     1.4109788E-5
-4.0000000E+0    -3.2758621E+0     2.1495108E+0     6.5948059E-3     4.2272836E-3     1.3815801E-5     1.3323196E-5
-4.0000000E+0    -3.2758621E+0     2.3148577E+0     5.1080882E-3     4.2269045E-3     1.2715835E-5     1.2521761E-5
-4.0000000E+0    -3.2758621E+0     2.4802047E+0     3.7493558E-3     4.2374578E-3     1.2080506E-5     1.1856081E-5
-4.0000000E+0    -3.2758621E+0     2.6455517E+0     1.6554887E-1     4.3082893E-3     1.1320935E-5     1.1351233E-5
-4.0000000E+0    -3.2758621E+0     2.8108987E+0     3.9942839E-1     4.4151780E-3     1.0837640E-5     1.0976601E-5
-4.0000000E+0    -3.2758621E+0     2.9762457E+0     5.7242751E-2     4.8791601E-3     7.5598548E-6     1.0737982E-5
-4.0000000E+0    -3.0344828E+0     1.0000000E-2    -1.9652607E-3     5.3963738E-3     1.1540594E-5     3.7376625E-5
-4.0000000E+0    -3.0344828E+0     1.6534698E-1    -1.9781572E-3     5.2568652E-3     1.3811130E-5     3.7266880E-5
-4.0000000E+0    -3.0344828E+0     3.3069396E-1    -2.0144603E-3     5.0925926E-3     3.4011260E-5     3.6938163E-5
-4.0000000E+0    -3.0344828E+0     4.9604095E-1    -2.1108216E-3     4.9033655E-3     3.1903179E-5     3.6395098E-5
-4.0000000E+0    -3.0344828E+0     6.6138793E-1    -2.5212951E-3     4.8524360E-3     3.1238613E-5     3.5644835E-5
