 Log10[q2](GeV^2)   Log10[r2](GeV^2)    theta         G3Gluon          G3Ghost           G3Quark          G3Sword
-4.0000000E+0    -3.0344828E+0     9.9208189E-1    -4.7070542E-5     1.7805887E-2     7.6493631E-5     4.3052821E-5
-4.0000000E+0    -3.0344828E+0     1.1574289E+0    -4.5502954E-5     1.7701995E-2     7.3322756E-5     4.1373687E-5
-4.0000000E+0    -3.0344828E+0     1.3227759E+0    -4.3735392E-5     1.7594955E-2     7.0050461E-5     3.9566240E-5
-4.0000000E+0    -3.0344828E+0     1.4881228E+0    -4.2171317E-5     1.7489888E-2     6.6613938E-5     3.7690454E-5
-4.0000000E+0    -3.0344828E+0     1.6534698E+0    -4.0340734E-5     1.7396414E-2     6.3293474E-5     3.5782344E-5
-4.0000000E+0    -3.0344828E+0     1.8188168E+0    -3.8543101E-5     1.7322443E-2     6.0004242E-5     3.3878640E-5
-4.0000000E+0    -3.0344828E+0     1.9841638E+0    -3.6458524E-5     1.7275912E-2     5.6751563E-5     3.2063808E-5
-4.0000000E+0    -3.0344828E+0     2.1495108E+0    -3.3467990E-5     1.7261491E-2     5.3767012E-5     3.0431344E-5
-4.0000000E+0    -3.0344828E+0     2.3148577E+0    -3.2104449E-5     1.7278395E-2     5.1118814E-5     2.9079667E-5
-4.0000000E+0    -3.0344828E+0     2.4802047E+0    -3.0896464E-5     1.7323631E-2     4.8912706E-5     2.7935457E-5
-4.0000000E+0    -3.0344828E+0     2.6455517E+0    -2.9886484E-5     1.7388711E-2     4.6940256E-5     2.6980487E-5
-4.0000000E+0    -3.0344828E+0     2.8108987E+0    -2.8073797E-5     1.7452989E-2     4.5905153E-5     2.6273759E-5
-4.0000000E+0    -3.0344828E+0     2.9762457E+0    -2.7484244E-5     1.7510178E-2     4.4958564E-5     2.5849749E-5
-4.0000000E+0    -2.7931034E+0     1.0000000E-2    -8.4335351E-5     1.8581686E-2     1.3863186E-4     7.7691711E-5
-4.0000000E+0    -2.7931034E+0     1.6534698E-1    -8.3679525E-5     1.8577556E-2     1.3901933E-4     7.7489688E-5
-4.0000000E+0    -2.7931034E+0     3.3069396E-1    -8.2983313E-5     1.8556756E-2     1.3798086E-4     7.6887134E-5
-4.0000000E+0    -2.7931034E+0     4.9604095E-1    -8.2199318E-5     1.8519953E-2     1.3608894E-4     7.5901978E-5
-4.0000000E+0    -2.7931034E+0     6.6138793E-1    -8.1066442E-5     1.8468916E-2     1.3367497E-4     7.4562984E-5
-4.0000000E+0    -2.7931034E+0     8.2673491E-1    -7.9452916E-5     1.8406389E-2     1.3068445E-4     7.2910646E-5
-4.0000000E+0    -2.7931034E+0     9.9208189E-1    -7.7695905E-5     1.8335592E-2     1.2713844E-4     7.0998148E-5
-4.0000000E+0    -2.7931034E+0     1.1574289E+0    -7.5675608E-5     1.8262327E-2     1.2319829E-4     6.8891157E-5
-4.0000000E+0    -2.7931034E+0     1.3227759E+0    -7.3504095E-5     1.8191273E-2     1.1894848E-4     6.6631443E-5
-4.0000000E+0    -2.7931034E+0     1.4881228E+0    -7.1050310E-5     1.8126195E-2     1.1444849E-4     6.4236112E-5
-4.0000000E+0    -2.7931034E+0     1.6534698E+0    -6.8394936E-5     1.8070809E-2     1.0984448E-4     6.1762861E-5
-4.0000000E+0    -2.7931034E+0     1.8188168E+0    -6.5649929E-5     1.8029217E-2     1.0519258E-4     5.9283174E-5
-4.0000000E+0    -2.7931034E+0     1.9841638E+0    -6.3158436E-5     1.8003716E-2     1.0090740E-4     5.6872169E-5
-4.0000000E+0    -2.7931034E+0     2.1495108E+0    -6.0563859E-5     1.7996175E-2     9.7030604E-5     5.4612375E-5
-4.0000000E+0    -2.7931034E+0     2.3148577E+0    -5.8045730E-5     1.8008212E-2     9.3668834E-5     5.2589183E-5
-4.0000000E+0    -2.7931034E+0     2.4802047E+0    -5.5678069E-5     1.8040979E-2     9.0467513E-5     5.0852977E-5
-4.0000000E+0    -2.7931034E+0     2.6455517E+0    -5.4088452E-5     1.8082918E-2     8.7848262E-5     4.9422469E-5
-4.0000000E+0    -2.7931034E+0     2.8108987E+0    -5.3759439E-5     1.8122741E-2     8.6028424E-5     4.8359374E-5
-4.0000000E+0    -2.7931034E+0     2.9762457E+0    -5.3564558E-5     1.8148760E-2     8.5038613E-5     4.7705486E-5
-4.0000000E+0    -2.5517241E+0     1.0000000E-2    -1.3648146E-4     1.8937257E-2     2.3081307E-4     1.2636248E-4
-4.0000000E+0    -2.5517241E+0     1.6534698E-1    -1.3649581E-4     1.8935493E-2     2.2916612E-4     1.2609523E-4
-4.0000000E+0    -2.5517241E+0     3.3069396E-1    -1.3590960E-4     1.8922473E-2     2.2740784E-4     1.2529890E-4
-4.0000000E+0    -2.5517241E+0     4.9604095E-1    -1.3432549E-4     1.8898912E-2     2.2516713E-4     1.2399988E-4
-4.0000000E+0    -2.5517241E+0     6.6138793E-1    -1.3258593E-4     1.8866517E-2     2.2193770E-4     1.2224040E-4
-4.0000000E+0    -2.5517241E+0     8.2673491E-1    -1.3050338E-4     1.8827320E-2     2.1777743E-4     1.2007893E-4
-4.0000000E+0    -2.5517241E+0     9.9208189E-1    -1.2787077E-4     1.8783470E-2     2.1322134E-4     1.1757437E-4
-4.0000000E+0    -2.5517241E+0     1.1574289E+0    -1.2504931E-4     1.8738001E-2     2.0804580E-4     1.1476729E-4
-4.0000000E+0    -2.5517241E+0     1.3227759E+0    -1.2194109E-4     1.8693796E-2     2.0245316E-4     1.1172847E-4
-4.0000000E+0    -2.5517241E+0     1.4881228E+0    -1.1861862E-4     1.8653493E-2     1.9647960E-4     1.0853754E-4
-4.0000000E+0    -2.5517241E+0     1.6534698E+0    -1.1529170E-4     1.8619904E-2     1.9059142E-4     1.0528529E-4
-4.0000000E+0    -2.5517241E+0     1.8188168E+0    -1.1189972E-4     1.8596831E-2     1.8479083E-4     1.0206838E-4
-4.0000000E+0    -2.5517241E+0     1.9841638E+0    -1.0866301E-4     1.8584560E-2     1.7938103E-4     9.8987661E-5
-4.0000000E+0    -2.5517241E+0     2.1495108E+0    -1.0543385E-4     1.8584844E-2     1.7418385E-4     9.6142522E-5
-4.0000000E+0    -2.5517241E+0     2.3148577E+0    -1.0225878E-4     1.8597743E-2     1.6922065E-4     9.3623973E-5
-4.0000000E+0    -2.5517241E+0     2.4802047E+0    -9.9417159E-5     1.8618962E-2     1.6501391E-4     9.1507766E-5
-4.0000000E+0    -2.5517241E+0     2.6455517E+0    -9.7119015E-5     1.8642000E-2     1.6173539E-4     8.9824427E-5
-4.0000000E+0    -2.5517241E+0     2.8108987E+0    -9.5185571E-5     1.8662241E-2     1.5925920E-4     8.8570023E-5
-4.0000000E+0    -2.5517241E+0     2.9762457E+0    -9.4139821E-5     1.8674628E-2     1.5793096E-4     8.7794842E-5
-4.0000000E+0    -2.3103448E+0     1.0000000E-2    -2.2861865E-4     1.9196236E-2     3.8473031E-4     2.1049720E-4
-4.0000000E+0    -2.3103448E+0     1.6534698E-1    -2.2785987E-4     1.9195986E-2     3.8260958E-4     2.1014765E-4
-4.0000000E+0    -2.3103448E+0     3.3069396E-1    -2.2660847E-4     1.9188846E-2     3.8031470E-4     2.0910636E-4
-4.0000000E+0    -2.3103448E+0     4.9604095E-1    -2.2466750E-4     1.9174957E-2     3.7723606E-4     2.0739982E-4
-4.0000000E+0    -2.3103448E+0     6.6138793E-1    -2.2209163E-4     1.9155444E-2     3.7284509E-4     2.0506924E-4
-4.0000000E+0    -2.3103448E+0     8.2673491E-1    -2.1905963E-4     1.9131587E-2     3.6747648E-4     2.0217240E-4
-4.0000000E+0    -2.3103448E+0     9.9208189E-1    -2.1555987E-4     1.9105172E-2     3.6152276E-4     1.9878203E-4
